Program Time [s],data 0,data 1
12.9919,1.99361e+06,2.54232e+06
13.0319,1.99361e+06,2.54234e+06
13.0728,1.99362e+06,2.54237e+06
13.1129,1.99361e+06,2.5424e+06
13.1529,1.99362e+06,2.5424e+06
13.1929,1.99361e+06,2.54242e+06
13.233,1.99361e+06,2.54239e+06
13.2739,1.99356e+06,2.54222e+06
13.3138,1.9935e+06,2.54204e+06
13.3539,1.99349e+06,2.54203e+06
13.3939,1.99351e+06,2.54208e+06
13.435,1.99353e+06,2.54215e+06
13.4751,1.99353e+06,2.54217e+06
13.5151,1.99354e+06,2.54218e+06
13.5548,1.99354e+06,2.54218e+06
13.596,1.99354e+06,2.54215e+06
13.6358,1.99353e+06,2.54217e+06
13.6758,1.99354e+06,2.54217e+06
13.716,1.99355e+06,2.5422e+06
13.7558,1.99355e+06,2.54224e+06
13.7968,1.99356e+06,2.54227e+06
13.8371,1.99357e+06,2.5423e+06
13.8772,1.99358e+06,2.54234e+06
13.9168,1.99358e+06,2.54234e+06
13.9578,1.99359e+06,2.54236e+06
13.9979,1.99358e+06,2.54237e+06
14.0378,1.99359e+06,2.54239e+06
14.0779,1.99359e+06,2.5424e+06
14.1188,1.99358e+06,2.54234e+06
14.1591,1.99352e+06,2.54216e+06
14.1988,1.99347e+06,2.54201e+06
14.2388,1.99347e+06,2.54202e+06
14.2788,1.9935e+06,2.54208e+06
14.3205,1.99351e+06,2.54213e+06
14.3598,1.99352e+06,2.54217e+06
14.3999,1.99353e+06,2.54219e+06
14.4398,1.99352e+06,2.54218e+06
14.4808,1.99353e+06,2.54218e+06
14.5211,1.99352e+06,2.54218e+06
14.5608,1.99354e+06,2.54222e+06
14.6008,1.99355e+06,2.54225e+06
14.642,1.99356e+06,2.54229e+06
14.6818,1.99356e+06,2.54232e+06
14.7218,1.99357e+06,2.54234e+06
14.7619,1.99357e+06,2.54236e+06
14.8028,1.99357e+06,2.54237e+06
14.8428,1.99357e+06,2.54239e+06
14.8828,1.99358e+06,2.5424e+06
14.923,1.99359e+06,2.54242e+06
14.9628,1.99359e+06,2.54243e+06
15.004,1.99359e+06,2.5424e+06
15.0438,1.99352e+06,2.54222e+06
15.0839,1.99348e+06,2.54207e+06
15.1239,1.99347e+06,2.54206e+06
15.1648,1.9935e+06,2.54212e+06
15.2053,1.9935e+06,2.54216e+06
15.2448,1.99352e+06,2.54221e+06
15.2848,1.99352e+06,2.54223e+06
15.3258,1.99352e+06,2.54221e+06
15.3658,1.99352e+06,2.5422e+06
15.4058,1.99352e+06,2.54221e+06
15.4458,1.99352e+06,2.54224e+06
15.4859,1.99353e+06,2.54226e+06
15.5268,1.99354e+06,2.5423e+06
15.5668,1.99355e+06,2.54233e+06
15.6071,1.99356e+06,2.54236e+06
15.6468,1.99356e+06,2.54238e+06
15.6878,1.99357e+06,2.54239e+06
15.7278,1.99357e+06,2.54241e+06
15.7678,1.99357e+06,2.54242e+06
15.8078,1.99357e+06,2.54244e+06
15.8489,1.99358e+06,2.54244e+06
15.8888,1.99354e+06,2.54232e+06
15.9289,1.99348e+06,2.54215e+06
15.9692,1.99346e+06,2.54211e+06
16.0092,1.99348e+06,2.54215e+06
16.0499,1.9935e+06,2.54223e+06
16.0901,1.99351e+06,2.54226e+06
16.1297,1.99352e+06,2.5423e+06
16.1697,1.99352e+06,2.54227e+06
16.2108,1.99351e+06,2.54225e+06
16.2508,1.99351e+06,2.54226e+06
16.2907,1.99352e+06,2.54228e+06
16.3307,1.99352e+06,2.54231e+06
16.3718,1.99354e+06,2.54233e+06
16.4117,1.99354e+06,2.54236e+06
16.4517,1.99354e+06,2.54238e+06
16.4917,1.99355e+06,2.54241e+06
16.5329,1.99355e+06,2.54242e+06
16.5741,1.99355e+06,2.54244e+06
16.6127,1.99355e+06,2.54245e+06
16.6527,1.99356e+06,2.54247e+06
16.6928,1.99354e+06,2.54242e+06
16.7337,1.99349e+06,2.54225e+06
16.7737,1.99343e+06,2.5421e+06
16.8137,1.99343e+06,2.54209e+06
16.8544,1.99344e+06,2.54211e+06
16.8948,1.99347e+06,2.54217e+06
16.9347,1.99347e+06,2.54222e+06
16.9747,1.99348e+06,2.54223e+06
17.0148,1.99347e+06,2.54223e+06
17.0557,1.99347e+06,2.5422e+06
17.0957,1.99347e+06,2.54222e+06
17.1357,1.99347e+06,2.54224e+06
17.1757,1.99348e+06,2.54227e+06
17.2157,1.99349e+06,2.54229e+06
17.2568,1.9935e+06,2.54233e+06
17.2967,1.99349e+06,2.54234e+06
17.3367,1.99351e+06,2.54237e+06
17.3767,1.99351e+06,2.54237e+06
17.4178,1.99352e+06,2.54239e+06
17.4577,1.99351e+06,2.5424e+06
17.4977,1.99352e+06,2.54241e+06
17.5377,1.99352e+06,2.5424e+06
17.5797,1.99348e+06,2.54224e+06
17.6199,1.99341e+06,2.54208e+06
17.6587,1.99341e+06,2.54206e+06
17.6987,1.99343e+06,2.54212e+06
17.7389,1.99344e+06,2.54216e+06
17.7796,1.99346e+06,2.5422e+06
17.8197,1.99346e+06,2.54222e+06
17.8596,1.99345e+06,2.54221e+06
17.8996,1.99344e+06,2.54219e+06
17.9406,1.99345e+06,2.54219e+06
