Time [s],x,y,z,flag
818.775,-0.109375,0.015625,0.476562,0
818.785,-0.101562,0.007812,0.492188,0
818.796,-0.09375,0.015625,0.5,0
818.807,-0.09375,0.007812,0.492188,0
818.817,-0.085938,0,0.5,0
818.829,-0.085938,0.015625,0.492188,0
818.838,-0.09375,0.007812,0.5,0
818.848,-0.101562,0.007812,0.523438,0
818.859,-0.101562,0.015625,0.515625,0
818.869,-0.085938,0.023438,0.5,0
818.88,-0.085938,0.015625,0.5,0
818.891,-0.085938,0.015625,0.492188,0
818.901,-0.085938,0.03125,0.492188,0
818.912,-0.101562,0.039062,0.492188,0
818.923,-0.101562,0.039062,0.5,0
818.933,-0.109375,0.054688,0.484375,0
818.944,-0.109375,0.054688,0.484375,0
818.954,-0.109375,0.054688,0.484375,0
818.964,-0.085938,0.039062,0.414062,0
818.975,-0.132812,0.0625,0.515625,0
818.986,-0.109375,0.046875,0.460938,0
818.996,-0.125,0.054688,0.46875,0
819.007,-0.125,0.0625,0.484375,0
819.017,-0.125,0.054688,0.492188,0
819.028,-0.117188,0.054688,0.507812,0
819.038,-0.109375,0.03125,0.484375,0
819.049,-0.085938,0.046875,0.476562,0
819.059,-0.09375,0.046875,0.492188,0
819.07,-0.09375,0.03125,0.507812,0
819.08,-0.09375,0.046875,0.507812,0
819.091,-0.101562,0.046875,0.507812,0
819.101,-0.09375,0.03125,0.492188,0
819.112,-0.101562,0.039062,0.476562,0
819.122,-0.078125,0.054688,0.460938,0
819.133,-0.078125,0,0.484375,0
819.143,-0.070312,0,0.515625,0
819.153,-0.085938,0.007812,0.5,0
819.164,-0.085938,-0.007812,0.476562,0
819.175,-0.078125,-0.023438,0.46875,0
819.185,-0.070312,-0.03125,0.484375,0
819.196,-0.078125,-0.023438,0.46875,0
819.207,-0.09375,-0.015625,0.453125,0
819.217,-0.085938,-0.03125,0.453125,0
819.227,-0.085938,-0.046875,0.4375,0
819.238,-0.078125,-0.046875,0.4375,0
819.249,-0.078125,-0.046875,0.421875,0
819.259,-0.085938,-0.046875,0.421875,0
819.269,-0.101562,-0.046875,0.4375,0
819.28,-0.125,-0.070312,0.390625,0
819.29,-0.046875,-0.03125,0.507812,0
819.301,-0.109375,-0.085938,0.453125,0
819.311,-0.125,-0.09375,0.4375,0
819.321,-0.125,-0.085938,0.445312,0
819.332,-0.125,-0.09375,0.453125,0
819.342,-0.140625,-0.09375,0.460938,0
819.354,-0.148438,-0.109375,0.453125,0
819.363,-0.132812,-0.125,0.429688,0
819.374,-0.140625,-0.09375,0.453125,0
819.384,-0.15625,-0.101562,0.4375,0
819.395,-0.164062,-0.101562,0.460938,0
819.406,-0.140625,-0.117188,0.460938,0
819.416,-0.148438,-0.109375,0.453125,0
819.427,-0.148438,-0.109375,0.460938,0
819.437,-0.148438,-0.085938,0.460938,0
819.448,-0.1875,-0.101562,0.515625,0
819.458,-0.140625,-0.101562,0.460938,0
819.469,-0.132812,-0.117188,0.476562,0
