Program Time [s],data 0,data 1,data 2,data 3,,,,,Program Time [s],data 0,data 1,data 2,data 3
782.618,0.03125,0.117188,0.476562,0,,,,,815.659,-0.085938,-0.085938,0.445312,0
782.628,0.03125,0.117188,0.476562,0,,,,,815.67,-0.09375,-0.078125,0.445312,0
782.639,0.03125,0.125,0.46875,0,,,,,815.68,-0.085938,-0.101562,0.414062,0
782.649,0.039062,0.125,0.46875,0,,,,,815.691,-0.109375,-0.085938,0.46875,0
782.66,0.039062,0.125,0.476562,0,,,,,815.701,-0.101562,-0.109375,0.476562,0
782.67,0.03125,0.117188,0.46875,0,,,,,815.712,-0.117188,-0.09375,0.46875,0
782.681,0.03125,0.117188,0.484375,0,,,,,815.722,-0.085938,-0.117188,0.46875,0
782.691,0.03125,0.117188,0.476562,0,,,,,815.733,-0.101562,-0.109375,0.46875,0
782.702,0.039062,0.125,0.476562,0,,,,,815.743,-0.109375,-0.125,0.46875,0
782.712,0.039062,0.125,0.46875,0,,,,,815.754,-0.125,-0.109375,0.492188,0
782.723,0.039062,0.117188,0.476562,0,,,,,815.765,-0.117188,-0.109375,0.476562,0
782.733,0.03125,0.117188,0.46875,0,,,,,815.775,-0.125,-0.109375,0.484375,0
782.744,0.03125,0.125,0.46875,0,,,,,815.785,-0.101562,-0.109375,0.46875,0
782.754,0.03125,0.117188,0.460938,0,,,,,815.796,-0.132812,-0.101562,0.46875,0
782.765,0.039062,0.117188,0.46875,0,,,,,815.806,-0.125,-0.117188,0.460938,0
782.775,0.03125,0.125,0.476562,0,,,,,815.817,-0.117188,-0.117188,0.460938,0
782.786,0.03125,0.117188,0.46875,0,,,,,815.828,-0.109375,-0.132812,0.429688,0
782.796,0.039062,0.125,0.476562,0,,,,,815.839,-0.132812,-0.109375,0.453125,0
782.807,0.03125,0.125,0.476562,0,,,,,815.849,-0.117188,-0.125,0.445312,0
782.817,0.023438,0.125,0.46875,0,,,,,815.859,-0.117188,-0.125,0.46875,0
782.828,0.03125,0.125,0.476562,0,,,,,815.87,-0.109375,-0.125,0.476562,0
782.839,0.03125,0.125,0.46875,0,,,,,815.88,-0.125,-0.117188,0.5,0
782.849,0.039062,0.125,0.46875,0,,,,,815.891,-0.140625,-0.109375,0.484375,0
782.86,0.039062,0.125,0.46875,0,,,,,815.901,-0.132812,-0.109375,0.46875,0
782.87,0.03125,0.117188,0.46875,0,,,,,815.912,-0.132812,-0.117188,0.445312,0
782.88,0.03125,0.125,0.46875,0,,,,,815.923,-0.132812,-0.109375,0.453125,0
782.891,0.03125,0.117188,0.46875,0,,,,,815.933,-0.125,-0.070312,0.40625,0
782.901,0.039062,0.117188,0.46875,0,,,,,815.943,-0.15625,-0.09375,0.476562,0
782.912,0.039062,0.117188,0.476562,0,,,,,815.954,-0.15625,-0.09375,0.492188,0
782.923,0.03125,0.125,0.476562,0,,,,,815.964,-0.148438,-0.101562,0.460938,0
782.933,0.03125,0.125,0.476562,0,,,,,815.975,-0.132812,-0.09375,0.46875,0
782.944,0.039062,0.117188,0.484375,0,,,,,815.986,-0.148438,-0.101562,0.460938,0
782.954,0.03125,0.125,0.46875,0,,,,,815.996,-0.140625,-0.101562,0.460938,0
782.964,0.03125,0.125,0.46875,0,,,,,816.007,-0.132812,-0.101562,0.460938,0
782.975,0.03125,0.117188,0.476562,0,,,,,816.017,-0.125,-0.109375,0.476562,0
782.986,0.03125,0.117188,0.46875,0,,,,,816.028,-0.132812,-0.109375,0.476562,0
782.996,0.03125,0.117188,0.46875,0,,,,,816.039,-0.125,-0.085938,0.476562,0
783.006,0.03125,0.125,0.46875,0,,,,,816.049,-0.132812,-0.101562,0.46875,0
783.017,0.039062,0.125,0.46875,0,,,,,816.06,-0.132812,-0.101562,0.460938,0
783.027,0.039062,0.125,0.46875,0,,,,,816.07,-0.125,-0.09375,0.460938,0
783.038,0.03125,0.125,0.460938,0,,,,,816.08,-0.132812,-0.101562,0.453125,0
783.048,0.039062,0.117188,0.460938,0,,,,,816.091,-0.117188,-0.09375,0.46875,0
783.059,0.039062,0.117188,0.46875,0,,,,,816.102,-0.117188,-0.109375,0.4375,0
783.07,0.039062,0.125,0.46875,0,,,,,816.112,-0.125,-0.09375,0.46875,0
783.08,0.039062,0.117188,0.46875,0,,,,,816.122,-0.117188,-0.09375,0.453125,0
783.09,0.03125,0.117188,0.476562,0,,,,,816.133,-0.101562,-0.101562,0.476562,0
783.101,0.03125,0.125,0.46875,0,,,,,816.143,-0.117188,-0.085938,0.484375,0
783.111,0.03125,0.117188,0.46875,0,,,,,816.155,-0.117188,-0.085938,0.5,0
783.122,0.039062,0.125,0.46875,0,,,,,816.165,-0.132812,-0.132812,0.398438,0
783.132,0.039062,0.117188,0.46875,0,,,,,816.175,-0.132812,-0.085938,0.515625,0
783.143,0.039062,0.117188,0.46875,0,,,,,816.186,-0.101562,-0.085938,0.460938,0
783.154,0.039062,0.109375,0.46875,0,,,,,816.196,-0.078125,-0.078125,0.398438,0
783.164,0.039062,0.117188,0.46875,0,,,,,816.207,-0.117188,-0.085938,0.5,0
783.174,0.03125,0.117188,0.46875,0,,,,,816.218,-0.125,-0.0625,0.46875,0
783.185,0.03125,0.125,0.46875,0,,,,,816.228,-0.109375,-0.078125,0.460938,0
783.195,0.03125,0.117188,0.476562,0,,,,,816.238,-0.101562,-0.078125,0.507812,0
783.206,0.03125,0.125,0.476562,0,,,,,816.249,-0.09375,-0.070312,0.5,0
783.216,0.039062,0.125,0.46875,0,,,,,816.26,-0.117188,-0.078125,0.46875,0
783.227,0.03125,0.125,0.476562,0,,,,,816.27,-0.117188,-0.078125,0.515625,0
783.237,0.03125,0.125,0.476562,0,,,,,816.28,-0.117188,-0.0625,0.523438,0
783.248,0.03125,0.125,0.46875,0,,,,,816.291,-0.101562,-0.0625,0.484375,0
783.258,0.039062,0.109375,0.46875,0,,,,,816.301,-0.101562,-0.0625,0.460938,0
783.269,0.03125,0.117188,0.46875,0,,,,,816.312,-0.109375,-0.046875,0.46875,0
783.279,0.03125,0.117188,0.476562,0,,,,,816.322,-0.109375,-0.054688,0.453125,0
783.29,0.039062,0.125,0.476562,0,,,,,816.333,-0.09375,-0.046875,0.445312,0
783.301,0.03125,0.117188,0.46875,0,,,,,816.343,-0.101562,-0.0625,0.429688,0
783.311,0.03125,0.125,0.46875,0,,,,,816.355,-0.101562,-0.023438,0.460938,0
783.322,0.03125,0.101562,0.507812,0,,,,,816.365,-0.09375,-0.023438,0.476562,0
783.332,0.023438,0.101562,0.507812,0,,,,,816.375,-0.078125,-0.015625,0.453125,0
783.343,0.03125,0.125,0.46875,0,,,,,816.386,-0.078125,-0.039062,0.445312,0
783.354,0.03125,0.117188,0.460938,0,,,,,816.396,-0.054688,-0.03125,0.460938,0
783.364,0.039062,0.125,0.476562,0,,,,,816.407,-0.046875,-0.03125,0.429688,0
783.374,0.039062,0.117188,0.460938,0,,,,,816.417,-0.054688,-0.015625,0.453125,0
783.385,0.039062,0.117188,0.46875,0,,,,,816.428,-0.085938,-0.015625,0.492188,0
783.395,0.039062,0.117188,0.46875,0,,,,,816.438,-0.0625,-0.015625,0.460938,0
783.406,0.039062,0.125,0.46875,0,,,,,816.449,-0.078125,-0.015625,0.460938,0
783.416,0.039062,0.125,0.476562,0,,,,,816.459,-0.070312,-0.015625,0.453125,0
783.427,0.03125,0.125,0.476562,0,,,,,816.47,-0.0625,-0.007812,0.4375,0
783.437,0.039062,0.125,0.46875,0,,,,,816.48,-0.070312,-0.007812,0.453125,0
783.448,0.03125,0.125,0.476562,0,,,,,816.491,-0.0625,0.015625,0.515625,0
783.458,0.03125,0.117188,0.46875,0,,,,,816.501,-0.0625,-0.023438,0.476562,0
783.469,0.039062,0.117188,0.46875,0,,,,,816.512,-0.0625,-0.015625,0.484375,0
783.479,0.03125,0.117188,0.46875,0,,,,,816.523,-0.078125,-0.015625,0.484375,0
783.49,0.039062,0.117188,0.476562,0,,,,,816.532,-0.078125,-0.015625,0.484375,0
783.501,0.03125,0.117188,0.46875,0,,,,,816.543,-0.0625,-0.039062,0.46875,0
783.511,0.039062,0.125,0.46875,0,,,,,816.553,-0.109375,0,0.507812,0
783.522,0.03125,0.117188,0.460938,0,,,,,816.564,-0.085938,-0.03125,0.492188,0
783.532,0.039062,0.109375,0.476562,0,,,,,816.575,-0.085938,-0.007812,0.507812,0
783.543,0.039062,0.125,0.46875,0,,,,,816.585,-0.085938,0,0.484375,0
783.553,0.039062,0.125,0.476562,0,,,,,816.596,-0.09375,0,0.484375,0
783.564,0.023438,0.117188,0.46875,0,,,,,816.606,-0.101562,-0.007812,0.492188,0
783.574,0.03125,0.125,0.46875,0,,,,,816.617,-0.078125,-0.023438,0.492188,0
783.585,0.039062,0.125,0.484375,0,,,,,816.627,-0.078125,-0.007812,0.5,0
783.597,0.03125,0.125,0.476562,0,,,,,816.638,-0.085938,-0.015625,0.484375,0
783.606,0.039062,0.117188,0.476562,0,,,,,816.648,-0.085938,-0.007812,0.476562,0
783.616,0.03125,0.125,0.46875,0,,,,,816.66,-0.078125,-0.007812,0.484375,0
783.627,0.039062,0.125,0.46875,0,,,,,816.67,-0.085938,0,0.476562,0
783.637,0.039062,0.117188,0.46875,0,,,,,816.68,-0.085938,-0.007812,0.492188,0
783.648,0.039062,0.125,0.46875,0,,,,,816.691,-0.101562,0,0.515625,0
783.658,0.039062,0.125,0.46875,0,,,,,816.701,-0.085938,-0.007812,0.5,0
783.669,0.039062,0.117188,0.46875,0,,,,,816.712,-0.09375,-0.015625,0.492188,0
783.679,0.039062,0.125,0.46875,0,,,,,816.723,-0.070312,-0.015625,0.476562,0
783.69,0.03125,0.125,0.46875,0,,,,,816.733,-0.070312,-0.023438,0.484375,0
783.701,0.03125,0.117188,0.46875,0,,,,,816.743,-0.085938,-0.015625,0.484375,0
783.711,0.03125,0.125,0.46875,0,,,,,816.754,-0.078125,-0.007812,0.476562,0
783.721,0.039062,0.117188,0.484375,0,,,,,816.764,-0.085938,0,0.476562,0
783.732,0.03125,0.125,0.46875,0,,,,,816.775,-0.078125,0,0.476562,0
783.742,0.03125,0.125,0.46875,0,,,,,816.785,-0.085938,-0.007812,0.5,0
783.753,0.03125,0.125,0.476562,0,,,,,816.796,-0.078125,-0.007812,0.476562,0
783.763,0.03125,0.125,0.476562,0,,,,,816.806,-0.085938,-0.007812,0.476562,0
783.774,0.03125,0.117188,0.46875,0,,,,,816.817,-0.078125,-0.007812,0.476562,0
783.784,0.03125,0.125,0.476562,0,,,,,816.827,-0.070312,-0.007812,0.476562,0
783.795,0.03125,0.117188,0.476562,0,,,,,816.838,-0.070312,-0.007812,0.460938,0
783.806,0.039062,0.125,0.46875,0,,,,,816.849,-0.070312,-0.007812,0.476562,0
783.816,0.039062,0.117188,0.46875,0,,,,,816.859,-0.085938,0,0.507812,0
783.826,0.03125,0.125,0.46875,0,,,,,816.87,-0.078125,-0.007812,0.484375,0
783.837,0.039062,0.125,0.46875,0,,,,,816.88,-0.078125,-0.007812,0.484375,0
783.847,0.039062,0.117188,0.460938,0,,,,,816.891,-0.070312,-0.015625,0.484375,0
783.858,0.039062,0.125,0.476562,0,,,,,816.901,-0.0625,-0.007812,0.484375,0
783.868,0.03125,0.109375,0.460938,0,,,,,816.912,-0.070312,0,0.507812,0
783.879,0.039062,0.125,0.484375,0,,,,,816.922,-0.078125,0.007812,0.492188,0
783.89,0.039062,0.125,0.484375,0,,,,,816.933,-0.078125,-0.015625,0.476562,0
783.9,0.03125,0.125,0.46875,0,,,,,816.943,-0.070312,0,0.492188,0
783.91,0.039062,0.117188,0.46875,0,,,,,816.954,-0.078125,-0.007812,0.484375,0
783.921,0.03125,0.125,0.476562,0,,,,,816.964,-0.078125,0,0.46875,0
783.931,0.039062,0.117188,0.476562,0,,,,,816.974,-0.0625,0.023438,0.453125,0
783.942,0.03125,0.117188,0.46875,0,,,,,816.985,-0.101562,0.007812,0.507812,0
783.952,0.03125,0.117188,0.46875,0,,,,,816.996,-0.070312,0,0.460938,0
783.963,0.023438,0.125,0.476562,0,,,,,817.006,-0.078125,0,0.476562,0
783.974,0.039062,0.109375,0.476562,0,,,,,817.016,-0.078125,0,0.492188,0
783.984,0.03125,0.109375,0.46875,0,,,,,817.027,-0.078125,0,0.484375,0
783.994,0.023438,0.125,0.46875,0,,,,,817.037,-0.078125,0,0.492188,0
784.005,0.03125,0.125,0.46875,0,,,,,817.048,-0.078125,0,0.492188,0
784.015,0.039062,0.117188,0.476562,0,,,,,817.058,-0.078125,-0.007812,0.484375,0
784.026,0.03125,0.125,0.476562,0,,,,,817.069,-0.078125,-0.007812,0.484375,0
784.036,0.03125,0.125,0.46875,0,,,,,817.079,-0.078125,0.007812,0.46875,0
784.047,0.03125,0.125,0.46875,0,,,,,817.09,-0.070312,0.007812,0.46875,0
784.057,0.03125,0.117188,0.46875,0,,,,,817.1,-0.078125,0.007812,0.476562,0
784.068,0.03125,0.125,0.46875,0,,,,,817.111,-0.070312,0,0.476562,0
784.078,0.039062,0.125,0.46875,0,,,,,817.121,-0.070312,0,0.460938,0
784.089,0.039062,0.117188,0.46875,0,,,,,817.132,-0.070312,0.007812,0.460938,0
784.099,0.039062,0.125,0.476562,0,,,,,817.143,-0.078125,0.007812,0.492188,0
784.11,0.039062,0.117188,0.46875,0,,,,,817.153,-0.070312,0,0.492188,0
784.12,0.03125,0.117188,0.476562,0,,,,,817.163,-0.054688,0.007812,0.484375,0
784.131,0.03125,0.117188,0.476562,0,,,,,817.174,-0.070312,-0.015625,0.515625,0
784.142,0.03125,0.117188,0.476562,0,,,,,817.185,-0.070312,0.015625,0.460938,0
784.152,0.039062,0.117188,0.484375,0,,,,,817.195,-0.070312,0.007812,0.460938,0
784.163,0.023438,0.117188,0.46875,0,,,,,817.206,-0.078125,0.015625,0.453125,0
784.174,0.03125,0.117188,0.460938,0,,,,,817.217,-0.085938,0.03125,0.476562,0
784.184,0.039062,0.117188,0.460938,0,,,,,817.227,-0.078125,0.03125,0.476562,0
784.194,0.039062,0.117188,0.46875,0,,,,,817.237,-0.085938,0.039062,0.476562,0
784.205,0.03125,0.117188,0.46875,0,,,,,817.248,-0.078125,0.039062,0.46875,0
784.215,0.03125,0.109375,0.46875,0,,,,,817.258,-0.078125,0.039062,0.5,0
784.226,0.03125,0.117188,0.46875,0,,,,,817.269,-0.078125,0.039062,0.515625,0
784.236,0.039062,0.117188,0.484375,0,,,,,817.279,-0.085938,0.054688,0.515625,0
784.247,0.03125,0.125,0.476562,0,,,,,817.29,-0.054688,0.070312,0.515625,0
784.257,0.03125,0.125,0.46875,0,,,,,817.3,-0.078125,0.078125,0.492188,0
784.268,0.03125,0.125,0.476562,0,,,,,817.311,-0.070312,0.078125,0.5,0
784.278,0.039062,0.117188,0.46875,0,,,,,817.321,-0.0625,0.085938,0.507812,0
784.289,0.039062,0.125,0.460938,0,,,,,817.332,-0.054688,0.09375,0.492188,0
784.3,0.039062,0.117188,0.460938,0,,,,,817.343,-0.0625,0.132812,0.539062,0
784.31,0.03125,0.117188,0.46875,0,,,,,817.353,-0.070312,0.125,0.546875,0
784.321,0.039062,0.117188,0.484375,0,,,,,817.363,-0.046875,0.125,0.5,0
784.331,0.03125,0.117188,0.476562,0,,,,,817.374,-0.078125,0.15625,0.515625,0
784.342,0.039062,0.117188,0.476562,0,,,,,817.384,-0.070312,0.15625,0.492188,0
784.352,0.03125,0.125,0.476562,0,,,,,817.395,-0.0625,0.148438,0.523438,0
784.363,0.03125,0.117188,0.46875,0,,,,,817.405,-0.078125,0.15625,0.523438,0
784.373,0.03125,0.117188,0.46875,0,,,,,817.416,-0.085938,0.132812,0.53125,0
784.384,0.03125,0.117188,0.46875,0,,,,,817.426,-0.070312,0.15625,0.5,0
784.394,0.039062,0.117188,0.46875,0,,,,,817.437,-0.085938,0.125,0.546875,0
784.405,0.039062,0.117188,0.476562,0,,,,,817.447,-0.09375,0.117188,0.539062,0
784.416,0.03125,0.117188,0.46875,0,,,,,817.458,-0.0625,0.09375,0.53125,0
784.429,0.039062,0.117188,0.476562,0,,,,,817.469,-0.046875,0.101562,0.484375,0
784.44,0.03125,0.125,0.46875,0,,,,,817.479,-0.078125,0.078125,0.539062,0
784.45,0.03125,0.117188,0.476562,0,,,,,817.489,-0.015625,0.054688,0.421875,0
784.461,0.03125,0.125,0.46875,0,,,,,817.5,-0.046875,0.03125,0.476562,0
784.471,0.039062,0.125,0.46875,0,,,,,817.51,-0.039062,0.03125,0.460938,0
784.482,0.03125,0.117188,0.46875,0,,,,,817.521,-0.039062,0.007812,0.460938,0
784.492,0.03125,0.109375,0.460938,0,,,,,817.531,-0.039062,-0.03125,0.453125,0
784.503,0.039062,0.117188,0.46875,0,,,,,817.542,-0.046875,-0.015625,0.476562,0
784.513,0.03125,0.125,0.46875,0,,,,,817.552,-0.054688,-0.03125,0.4375,0
784.523,0.039062,0.125,0.460938,0,,,,,817.563,-0.054688,-0.078125,0.375,0
784.534,0.03125,0.117188,0.476562,0,,,,,817.573,-0.078125,-0.054688,0.460938,0
784.545,0.039062,0.117188,0.46875,0,,,,,817.584,-0.085938,-0.070312,0.460938,0
784.555,0.039062,0.117188,0.476562,0,,,,,817.595,-0.078125,-0.054688,0.429688,0
784.566,0.03125,0.117188,0.476562,0,,,,,817.605,-0.085938,-0.078125,0.484375,0
784.577,0.039062,0.125,0.476562,0,,,,,817.616,-0.109375,-0.125,0.429688,0
784.587,0.03125,0.125,0.46875,0,,,,,817.626,-0.117188,-0.09375,0.46875,0
784.597,0.03125,0.125,0.46875,0,,,,,817.637,-0.117188,-0.09375,0.460938,0
784.608,0.046875,0.101562,0.445312,0,,,,,817.647,-0.140625,-0.085938,0.414062,0
784.618,0.03125,0.132812,0.390625,0,,,,,817.658,-0.164062,-0.070312,0.359375,0
784.629,0.046875,0.117188,0.445312,0,,,,,817.669,-0.164062,-0.09375,0.351562,0
784.639,0.039062,0.125,0.453125,0,,,,,817.679,-0.15625,-0.078125,0.359375,0
784.65,0.039062,0.125,0.46875,0,,,,,817.689,-0.140625,-0.101562,0.4375,0
784.66,0.03125,0.117188,0.484375,0,,,,,817.7,-0.109375,-0.125,0.445312,0
784.671,0.03125,0.125,0.484375,0,,,,,817.71,-0.117188,-0.125,0.460938,0
784.681,0.023438,0.117188,0.484375,0,,,,,817.721,-0.164062,-0.117188,0.46875,0
784.692,0.03125,0.125,0.476562,0,,,,,817.732,-0.171875,-0.117188,0.4375,0
784.702,0.03125,0.125,0.46875,0,,,,,817.742,-0.164062,-0.125,0.445312,0
784.712,0.03125,0.125,0.46875,0,,,,,817.753,-0.140625,-0.109375,0.4375,0
784.723,0.039062,0.117188,0.46875,0,,,,,817.763,-0.148438,-0.125,0.476562,0
784.733,0.03125,0.117188,0.46875,0,,,,,817.774,-0.148438,-0.148438,0.484375,0
784.744,0.03125,0.125,0.476562,0,,,,,817.785,-0.164062,-0.148438,0.484375,0
784.755,0.03125,0.125,0.476562,0,,,,,817.795,-0.132812,-0.140625,0.46875,0
784.765,0.03125,0.117188,0.476562,0,,,,,817.805,-0.140625,-0.164062,0.484375,0
784.776,0.039062,0.125,0.484375,0,,,,,817.816,-0.132812,-0.15625,0.5,0
784.786,0.03125,0.117188,0.476562,0,,,,,817.826,-0.132812,-0.164062,0.5,0
784.797,0.03125,0.125,0.46875,0,,,,,817.837,-0.132812,-0.164062,0.5,0
784.807,0.03125,0.109375,0.46875,0,,,,,817.847,-0.117188,-0.179688,0.460938,0
784.818,0.03125,0.117188,0.46875,0,,,,,817.858,-0.125,-0.15625,0.5,0
784.828,0.03125,0.117188,0.476562,0,,,,,817.868,-0.125,-0.148438,0.484375,0
784.839,0.039062,0.125,0.476562,0,,,,,817.879,-0.148438,-0.140625,0.5,0
784.849,0.03125,0.117188,0.476562,0,,,,,817.889,-0.140625,-0.132812,0.484375,0
784.86,0.039062,0.117188,0.476562,0,,,,,817.9,-0.148438,-0.132812,0.484375,0
784.87,0.039062,0.117188,0.476562,0,,,,,817.91,-0.117188,-0.125,0.476562,0
784.881,0.039062,0.125,0.46875,0,,,,,817.921,-0.117188,-0.125,0.460938,0
784.891,0.03125,0.117188,0.476562,0,,,,,817.931,-0.132812,-0.101562,0.4375,0
784.902,0.039062,0.109375,0.46875,0,,,,,817.942,-0.132812,-0.09375,0.445312,0
784.912,0.03125,0.117188,0.484375,0,,,,,817.952,-0.125,-0.101562,0.453125,0
784.923,0.03125,0.117188,0.476562,0,,,,,817.963,-0.125,-0.109375,0.484375,0
784.933,0.03125,0.117188,0.484375,0,,,,,817.973,-0.132812,-0.078125,0.460938,0
784.944,0.03125,0.125,0.476562,0,,,,,817.984,-0.171875,-0.085938,0.515625,0
784.954,0.03125,0.125,0.46875,0,,,,,817.994,-0.109375,-0.125,0.460938,0
784.965,0.03125,0.125,0.476562,0,,,,,818.005,-0.140625,-0.085938,0.453125,0
784.975,0.03125,0.125,0.46875,0,,,,,818.015,-0.125,-0.109375,0.492188,0
784.986,0.039062,0.117188,0.476562,0,,,,,818.026,-0.117188,-0.117188,0.484375,0
784.996,0.039062,0.117188,0.476562,0,,,,,818.036,-0.117188,-0.109375,0.492188,0
785.007,0.03125,0.117188,0.476562,0,,,,,818.047,-0.132812,-0.117188,0.453125,0
785.017,0.039062,0.117188,0.484375,0,,,,,818.057,-0.132812,-0.078125,0.492188,0
785.028,0.03125,0.125,0.476562,0,,,,,818.068,-0.101562,-0.078125,0.445312,0
785.039,0.03125,0.117188,0.46875,0,,,,,818.078,-0.117188,-0.085938,0.445312,0
785.049,0.03125,0.117188,0.46875,0,,,,,818.089,-0.101562,-0.070312,0.445312,0
785.059,0.03125,0.125,0.46875,0,,,,,818.1,-0.109375,-0.054688,0.4375,0
785.07,0.039062,0.117188,0.46875,0,,,,,818.11,-0.101562,-0.0625,0.429688,0
