Program Time [s],data 0,data 1,,,,Program Time [s],data 0,data 1,,,,Program Time [s],data 0,data 1
1422.09,2.27E+06,2.55E+06,,,,1426.99,2.26E+06,2.55E+06,,,,,,
1422.13,2.27E+06,2.55E+06,,,,1427.03,2.26E+06,2.55E+06,,,,,,
1422.17,2.27E+06,2.55E+06,,,,1427.07,2.26E+06,2.55E+06,,,,,,
1422.21,2.27E+06,2.55E+06,,,,1427.11,2.26E+06,2.55E+06,,,,,,
1422.25,2.27E+06,2.55E+06,,,,1427.15,2.26E+06,2.55E+06,,,,,,
1422.29,2.27E+06,2.55E+06,,,,1427.19,2.26E+06,2.55E+06,,,,,,
1422.33,2.27E+06,2.55E+06,,,,1427.23,2.26E+06,2.55E+06,,,,,,
1422.37,2.27E+06,2.55E+06,,,,1427.27,2.26E+06,2.55E+06,,,,,,
1422.41,2.27E+06,2.55E+06,,,,1427.31,2.26E+06,2.55E+06,,,,,,
1422.45,2.27E+06,2.55E+06,,,,1427.35,2.26E+06,2.55E+06,,,,,,
1422.49,2.26E+06,2.55E+06,,,,1427.39,2.26E+06,2.55E+06,,,,,,
1422.53,2.26E+06,2.55E+06,,,,1427.43,2.26E+06,2.55E+06,,,,,,
1422.57,2.26E+06,2.55E+06,,,,1427.48,2.26E+06,2.55E+06,,,,,,
1422.61,2.26E+06,2.55E+06,,,,1427.52,2.26E+06,2.55E+06,,,,,,
1422.65,2.27E+06,2.55E+06,,,,1427.55,2.26E+06,2.55E+06,,,,,,
1422.69,2.27E+06,2.55E+06,,,,1427.6,2.26E+06,2.55E+06,,,,,,
1422.73,2.26E+06,2.55E+06,,,,1427.64,2.26E+06,2.55E+06,,,,,,
1422.77,2.27E+06,2.55E+06,,,,1427.68,2.26E+06,2.55E+06,,,,,,
1422.81,2.26E+06,2.55E+06,,,,1427.72,2.26E+06,2.55E+06,,,,,,
1422.85,2.26E+06,2.55E+06,,,,1427.76,2.26E+06,2.55E+06,,,,,,
1422.89,2.26E+06,2.55E+06,,,,1427.8,2.26E+06,2.55E+06,,,,,,
1422.93,2.26E+06,2.55E+06,,,,1427.84,2.26E+06,2.55E+06,,,,,,
1422.97,2.26E+06,2.55E+06,,,,1427.88,2.26E+06,2.55E+06,,,,,,
1423.01,2.26E+06,2.55E+06,,,,1427.92,2.26E+06,2.55E+06,,,,,,
1423.05,2.26E+06,2.55E+06,,,,1427.96,2.26E+06,2.55E+06,,,,,,
1423.09,2.26E+06,2.55E+06,,,,1428,2.26E+06,2.55E+06,,,,,,
1423.13,2.26E+06,2.55E+06,,,,1428.04,2.26E+06,2.55E+06,,,,,,
1423.17,2.26E+06,2.55E+06,,,,1428.08,2.26E+06,2.55E+06,,,,,,
1423.21,2.26E+06,2.55E+06,,,,1428.12,2.26E+06,2.55E+06,,,,,,
1423.25,2.26E+06,2.55E+06,,,,1428.16,2.26E+06,2.55E+06,,,,,,
1423.29,2.26E+06,2.55E+06,,,,1428.2,2.26E+06,2.55E+06,,,,,,
1423.33,2.26E+06,2.55E+06,,,,1428.24,2.26E+06,2.55E+06,,,,,,
1423.37,2.26E+06,2.55E+06,,,,1428.28,2.26E+06,2.55E+06,,,,,,
1423.41,2.26E+06,2.55E+06,,,,1428.32,2.26E+06,2.55E+06,,,,,,
1423.45,2.26E+06,2.55E+06,,,,1428.36,2.26E+06,2.55E+06,,,,,,
1423.5,2.26E+06,2.55E+06,,,,1428.4,2.26E+06,2.55E+06,,,,,,
1423.54,2.26E+06,2.55E+06,,,,1428.44,2.26E+06,2.55E+06,,,,,,
1423.57,2.26E+06,2.55E+06,,,,1428.48,2.26E+06,2.55E+06,,,,,,
1423.61,2.26E+06,2.55E+06,,,,1428.52,2.26E+06,2.55E+06,,,,,,
1423.66,2.26E+06,2.55E+06,,,,1428.56,2.26E+06,2.55E+06,,,,,,
1423.7,2.26E+06,2.55E+06,,,,1428.6,2.26E+06,2.55E+06,,,,,,
1423.74,2.26E+06,2.55E+06,,,,1428.64,2.26E+06,2.55E+06,,,,,,
1423.78,2.26E+06,2.55E+06,,,,1428.68,2.26E+06,2.55E+06,,,,,,
1423.82,2.26E+06,2.55E+06,,,,1428.72,2.26E+06,2.55E+06,,,,,,
1423.86,2.26E+06,2.55E+06,,,,1428.76,2.26E+06,2.55E+06,,,,,,
1423.9,2.26E+06,2.55E+06,,,,1428.8,2.26E+06,2.55E+06,,,,,,
1423.94,2.26E+06,2.55E+06,,,,1428.84,2.26E+06,2.55E+06,,,,,,
1423.98,2.26E+06,2.55E+06,,,,1428.88,2.26E+06,2.55E+06,,,,,,
1424.02,2.26E+06,2.55E+06,,,,1428.92,2.26E+06,2.55E+06,,,,,,
1424.06,2.26E+06,2.55E+06,,,,1428.96,2.26E+06,2.55E+06,,,,,,
1424.1,2.26E+06,2.55E+06,,,,1429,2.26E+06,2.55E+06,,,,,,
1424.14,2.26E+06,2.55E+06,,,,1429.04,2.26E+06,2.55E+06,,,,,,
1424.18,2.26E+06,2.55E+06,,,,1429.08,2.26E+06,2.55E+06,,,,,,
1424.22,2.26E+06,2.55E+06,,,,1429.12,2.26E+06,2.55E+06,,,,,,
1424.26,2.26E+06,2.55E+06,,,,1429.16,2.26E+06,2.55E+06,,,,,,
1424.3,2.26E+06,2.55E+06,,,,1429.2,2.26E+06,2.55E+06,,,,,,
1424.34,2.26E+06,2.55E+06,,,,1429.24,2.26E+06,2.55E+06,,,,,,
1424.38,2.26E+06,2.55E+06,,,,1429.28,2.26E+06,2.55E+06,,,,,,
1424.42,2.26E+06,2.55E+06,,,,1429.32,2.26E+06,2.55E+06,,,,,,
1424.46,2.26E+06,2.55E+06,,,,1429.36,2.26E+06,2.55E+06,,,,,,
1424.5,2.26E+06,2.55E+06,,,,1429.4,2.26E+06,2.55E+06,,,,,,
1424.54,2.26E+06,2.55E+06,,,,1429.44,2.26E+06,2.55E+06,,,,,,
1424.58,2.26E+06,2.55E+06,,,,1429.48,2.26E+06,2.55E+06,,,,,,
1424.62,2.26E+06,2.55E+06,,,,1429.52,2.26E+06,2.55E+06,,,,,,
1424.66,2.26E+06,2.55E+06,,,,1429.57,2.26E+06,2.55E+06,,,,,,
1424.7,2.26E+06,2.55E+06,,,,1429.61,2.26E+06,2.55E+06,,,,,,
1424.74,2.26E+06,2.55E+06,,,,1429.65,2.26E+06,2.55E+06,,,,,,
1424.78,2.26E+06,2.55E+06,,,,1429.69,2.26E+06,2.55E+06,,,,,,
1424.82,2.26E+06,2.55E+06,,,,1429.73,2.26E+06,2.55E+06,,,,,,
